,instant,date,season,year,month,hr,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_rental,category_days
0,1,2011-01-01,Spring,2011,January,0,Yes,Saturday,Weekend,Clear,9.84,14.395,81.0,0.0,3,13,16,weekends
1,2,2011-01-01,Spring,2011,January,1,Yes,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,8,32,40,weekends
2,3,2011-01-01,Spring,2011,January,2,Yes,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,5,27,32,weekends
3,4,2011-01-01,Spring,2011,January,3,Yes,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,3,10,13,weekends
4,5,2011-01-01,Spring,2011,January,4,Yes,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,0,1,1,weekends
5,6,2011-01-01,Spring,2011,January,5,Yes,Saturday,Weekend,Misty,9.84,12.879999999999999,75.0,6.0032,0,1,1,weekends
6,7,2011-01-01,Spring,2011,January,6,Yes,Saturday,Weekend,Clear,9.02,13.635,80.0,0.0,2,0,2,weekends
7,8,2011-01-01,Spring,2011,January,7,Yes,Saturday,Weekend,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,weekends
8,9,2011-01-01,Spring,2011,January,8,Yes,Saturday,Weekend,Clear,9.84,14.395,75.0,0.0,1,7,8,weekends
9,10,2011-01-01,Spring,2011,January,9,Yes,Saturday,Weekend,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,weekends
10,11,2011-01-01,Spring,2011,January,10,Yes,Saturday,Weekend,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36,weekends
11,12,2011-01-01,Spring,2011,January,11,Yes,Saturday,Weekend,Clear,14.76,16.665,81.0,19.0012,26,30,56,weekends
12,13,2011-01-01,Spring,2011,January,12,Yes,Saturday,Weekend,Clear,17.22,21.21,77.0,19.0012,29,55,84,weekends
